rsi,ema_short,ema_long,bb_window,bb_std,win_rate
7,10,20,10,1.0,0.0
14,20,50,20,3.0,0.0
21,10,20,20,3.0,0.0
21,10,20,20,2.0,0.0
21,10,20,20,1.0,0.0
21,10,20,10,3.0,0.0
21,10,20,10,2.0,0.0
21,10,20,10,1.0,0.0
14,50,100,30,3.0,0.0
14,50,100,30,2.0,0.0
14,50,100,30,1.0,0.0
14,50,100,20,3.0,0.0
14,50,100,20,2.0,0.0
14,50,100,20,1.0,0.0
14,50,100,10,3.0,0.0
14,50,100,10,2.0,0.0
14,50,100,10,1.0,0.0
14,20,50,30,3.0,0.0
14,20,50,30,2.0,0.0
21,10,20,30,1.0,0.0
21,10,20,30,2.0,0.0
21,10,20,30,3.0,0.0
21,50,100,10,1.0,0.0
21,50,100,30,2.0,0.0
21,50,100,30,1.0,0.0
21,50,100,20,3.0,0.0
21,50,100,20,2.0,0.0
21,50,100,20,1.0,0.0
21,50,100,10,3.0,0.0
21,50,100,10,2.0,0.0
21,20,50,30,3.0,0.0
21,20,50,10,1.0,0.0
21,20,50,30,2.0,0.0
21,20,50,30,1.0,0.0
21,20,50,20,3.0,0.0
21,20,50,20,2.0,0.0
21,20,50,20,1.0,0.0
21,20,50,10,3.0,0.0
21,20,50,10,2.0,0.0
14,20,50,30,1.0,0.0
14,20,50,20,2.0,0.0
7,10,20,10,2.0,0.0
14,20,50,20,1.0,0.0
7,50,100,10,1.0,0.0
7,20,50,30,3.0,0.0
7,20,50,30,2.0,0.0
7,20,50,30,1.0,0.0
7,20,50,20,3.0,0.0
7,20,50,20,2.0,0.0
7,20,50,20,1.0,0.0
7,20,50,10,3.0,0.0
7,20,50,10,2.0,0.0
7,20,50,10,1.0,0.0
7,10,20,30,3.0,0.0
7,10,20,30,2.0,0.0
7,10,20,30,1.0,0.0
7,10,20,20,3.0,0.0
7,10,20,20,2.0,0.0
7,10,20,20,1.0,0.0
7,10,20,10,3.0,0.0
7,50,100,10,2.0,0.0
7,50,100,10,3.0,0.0
7,50,100,20,1.0,0.0
14,10,20,20,2.0,0.0
14,20,50,10,3.0,0.0
14,20,50,10,2.0,0.0
14,20,50,10,1.0,0.0
14,10,20,30,3.0,0.0
14,10,20,30,2.0,0.0
14,10,20,30,1.0,0.0
14,10,20,20,3.0,0.0
14,10,20,20,1.0,0.0
7,50,100,20,2.0,0.0
14,10,20,10,3.0,0.0
14,10,20,10,2.0,0.0
14,10,20,10,1.0,0.0
7,50,100,30,3.0,0.0
7,50,100,30,2.0,0.0
7,50,100,30,1.0,0.0
7,50,100,20,3.0,0.0
21,50,100,30,3.0,0.0
